timestamp,consumption_kwh,temperature,humidity,occupancy,hour,day_of_week,month,is_weekend,ac_running,lighting,cooking,entertainment
2025-01-01 00:00:00,0.167,16.4,59.7,0.45,0,2,1,0,0,1,0,0
2025-01-01 01:00:00,0.205,15.9,61.5,0.25,1,2,1,0,0,0,0,0
2025-01-01 02:00:00,0.1,13.1,53.6,0.11,2,2,1,0,0,0,0,0
2025-01-01 03:00:00,0.1,12.3,54.7,0.21,3,2,1,0,0,0,0,0
2025-01-01 04:00:00,0.1,19.2,51.0,0.16,4,2,1,0,0,0,0,0
2025-01-01 05:00:00,0.129,14.2,55.6,0.24,5,2,1,0,0,0,0,0
2025-01-01 06:00:00,0.603,18.0,49.8,0.19,6,2,1,0,0,0,0,0
2025-01-01 07:00:00,0.52,15.8,20.6,0.17,7,2,1,0,0,0,1,0
2025-01-01 08:00:00,0.355,22.9,48.3,0.17,8,2,1,0,0,0,1,0
2025-01-01 09:00:00,0.374,18.9,65.9,0.23,9,2,1,0,0,0,0,0
2025-01-01 10:00:00,0.484,22.9,39.8,0.26,10,2,1,0,0,0,0,0
2025-01-01 11:00:00,0.464,24.8,45.4,0.23,11,2,1,0,0,0,0,0
2025-01-01 12:00:00,0.371,21.4,33.4,0.08,12,2,1,0,0,0,1,0
2025-01-01 13:00:00,0.304,26.8,65.1,0.24,13,2,1,0,0,0,1,0
2025-01-01 14:00:00,0.166,25.0,49.5,0.36,14,2,1,0,0,0,0,0
2025-01-01 15:00:00,0.156,24.1,45.5,0.21,15,2,1,0,0,0,0,0
2025-01-01 16:00:00,0.243,20.2,72.2,0.15,16,2,1,0,0,0,0,0
2025-01-01 17:00:00,0.375,18.7,54.9,0.15,17,2,1,0,0,0,0,0
2025-01-01 18:00:00,0.628,19.3,39.5,0.17,18,2,1,0,0,0,0,0
2025-01-01 19:00:00,1.836,10.9,53.9,0.9,19,2,1,0,0,1,1,0
2025-01-01 20:00:00,1.796,10.3,44.9,0.82,20,2,1,0,0,1,1,0
2025-01-01 21:00:00,1.418,18.1,52.6,0.93,21,2,1,0,0,1,0,0
2025-01-01 22:00:00,2.175,9.2,50.9,1.0,22,2,1,0,0,1,0,0
2025-01-01 23:00:00,0.825,15.9,32.5,1.0,23,2,1,0,0,1,0,0
2025-01-02 00:00:00,0.191,16.5,71.0,0.16,0,3,1,0,0,0,0,0
2025-01-02 01:00:00,0.112,20.6,41.5,0.31,1,3,1,0,0,1,0,0
2025-01-02 02:00:00,0.14,10.4,34.1,0.35,2,3,1,0,0,1,0,0
